ticker,date,entry,stop,target,risk,reward,rr,ma5,ma5_slope_3d,ma5_slope_score,ma20,ma60,ma20_slope_5d,ret20,bb_width,vol_ratio_5v20,rr_pref,trend_score,vol_score,vol_score2,rs_score,score,close,volume,market
032080,2026-04-15,1340.0,1274.595,1488.0,65.40499999999997,148.0,2.2628239431236152,1327.6,0.00804859529233104,0.804859529233104,1337.3,1291.1333333333334,0.003903610840026994,0.01823708206686936,0.06313768260542682,0.3119868589356765,0.916426708797322,0.19005665346828726,0.684311586972866,0.415982478580902,0.6,64.34916176000507,1340.0,71925.0,KOSDAQ
006050,2026-04-15,1453.0,1294.495,1695.0,158.5050000000001,242.0,1.5267657171698044,1428.0,0.015936254980079667,1.0,1412.65,1352.6,0.023325727117968764,0.10746951219512191,0.1993028763937621,0.25425677189834006,0.5383449756813367,1.0,0.003485618031189519,0.33900902919778675,1.0,62.2844487112925,1453.0,261549.0,KOSDAQ
000700,2026-04-15,6310.0,5870.5,7200.0,439.5,890.0,2.025028441410694,6332.0,0.0363338788870704,1.0,6466.5,6270.166666666667,-0.007672830507174044,-0.06518518518518523,0.1401687783447254,0.7302914194654028,0.9074284751190327,0.0,0.29915610827637296,0.973721892620537,0.16666666666666666,57.651223846183775,6310.0,76712.0,KOSPI
006910,2026-04-15,10400.0,8855.5,13520.0,1544.5,3120.0,2.0200712204596956,9900.0,0.03125,1.0,10297.5,9699.0,-0.05114029025570144,-0.1849529780564263,0.2447533149981574,0.5855988972485277,0.9037564595997746,0.0,0.0,0.7807985296647035,0.2,51.43946138263915,10400.0,4831486.0,KOSDAQ
031510,2026-04-15,1039.0,1004.95,1093.0,34.049999999999955,54.0,1.5859030837004426,1037.8,0.002511591962905735,0.2511591962905735,1031.3,1025.8833333333334,0.004969791463652173,0.012670565302144166,0.05909909359595485,0.8071736157128663,0.5821504323706983,0.19977600511814186,0.7045045320202257,0.923768512382845,0.4,50.68763030237484,1039.0,86880.0,KOSDAQ
003075,2026-04-15,16200.0,15402.6,17490.0,797.3999999999996,1290.0,1.6177577125658398,16018.0,-0.013305408402119023,0.0,16008.5,15417.333333333334,0.013067966080243076,0.058131939908556474,0.1146665812178511,1.3875565154445881,0.6057464537524739,0.6245667420415182,0.42666709391074453,0.14992464607388245,0.8333333333333334,49.92504692490027,16200.0,18754.0,KOSPI
002020,2026-04-15,61200.0,57809.5,71400.0,3390.5,10200.0,3.0084058398466302,61300.0,-0.04487379245870993,0.0,60970.0,59482.5,0.020589219953130122,0.0948121645796065,0.22310025883812706,0.4998799881352481,0.3641438223358294,0.979248658318426,0.0,0.6665066508469975,1.0,48.99507345659252,61200.0,47879.0,KOSPI
002355,2026-04-15,4255.0,4099.4,4755.0,155.60000000000036,500.0,3.213367609254491,4256.0,0.005433498700684991,0.5433498700684991,4329.5,4183.916666666667,0.0017932550471453368,-0.04489337822671158,0.07730086420051092,0.697148095626889,0.2123202894411177,0.053797651414360104,0.6134956789974454,0.9295307941691853,0.5,37.438404986064846,4255.0,20144.0,KOSPI
002720,2026-04-15,4820.0,4631.725,5440.0,188.27499999999964,620.0,3.2930553711326582,4825.0,0.0047896709704289275,0.47896709704289275,4889.25,4744.416666666667,-0.008014202383971547,-0.045544554455445585,0.08590118645290867,0.5802368906988865,0.15329231767951246,0.0,0.5704940677354566,0.7736491875985153,0.3333333333333333,29.782138314562197,4820.0,160570.0,KOSPI
023900,2026-04-15,10220.0,9681.35,13140.0,538.6499999999996,2920.0,5.4209598069247225,10376.0,-0.012937595129375978,0.0,10097.5,9567.666666666666,0.007382650770688892,0.05252317198764156,0.1442887412358506,0.2853267312072656,0.0,0.431572211071233,0.2785562938207471,0.38043564160968746,0.8,24.614145044832743,10220.0,137122.0,KOSDAQ
